Coin 	BuyDate 	CloseDate 	Quantity 	BuyPrice 	SellPrice 	Spent USDT 	Gained USDT 	ProfitUSDT 	Profit 	ChannelName 	SellReason 	dBTC 	d24BTC 	dMarket 	dM24 	bvsv 	dBTC5m 	Pump1H 	Dump1H 	d24h 	d3h 	d1h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
GMT 	2022-04-10 22:24:07 	2022-04-10 22:25:26 	43.0 \ 43.0 	2.34454000 	2.35696000 	5.04277730 	5.49597154 	0.45 	9.0% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.11 	1.4 	0.04 	1.8 	0.66 	0.24 	2.43 	0.34 	9.91 	6.55 	2.88 	1.67 	1.29 	1 	0.04 	0 	2.95 	105.4 m 	2696.7 m
GMT 	2022-04-10 22:23:51 	2022-04-10 22:25:22 	43.0 \ 43.0 	2.34454000 	2.35578000 	5.04277730 	5.44525183 	0.4 	8.0% 	(strategy <d150s1 M+>) 	Auto Price Down 	0.11 	1.4 	0.05 	1.8 	0.33 	0.24 	2.43 	0.34 	9.91 	6.55 	2.88 	1.67 	1.29 	1 	0.04 	0 	2.43 	105.4 m 	2696.7 m
ARPA 	2022-04-10 22:07:29 	2022-04-10 22:23:47 	1325.0 \ 1325.0 	0.07549000 	0.07481000 	5.00321298 	4.02255402 	-0.98 	-19.6% 	(strategy <d180s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07481 BidEMA: 0.07481 LastPrice = 0.07483 BuyPrice = 0.07549 (strategy <d180s1 M+>); StopLoss fixed: 0.07489 AllowedDrop: BUY -14.0% s 	0.37 	1.58 	0.39 	2.07 	1.23 	0.27 	13.79 	0.12 	18.98 	16.66 	14.94 	3.24 	1.22 	0.82 	0.11 	0 	8.61 	30.2 m 	41.6 m
SKL 	2022-04-10 22:18:08 	2022-04-10 22:20:34 	471.0 \ 471.0 	0.21243000 	0.21333000 	5.00472759 	5.34841444 	0.34 	6.9% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.16 	1.43 	0.1 	1.84 	0.25 	0.2 	2.63 	0.14 	10.65 	9.7 	3.69 	1.43 	1.18 	0.52 	0.05 	0 	3.02 	8.6 m 	35.9 m
KNC 	2022-04-10 22:04:04 	2022-04-10 22:18:49 	12.0 \ 12.0 	4.33500000 	4.29300000 	2.60204040 	2.05662602 	-0.55 	-21.0% 	(strategy <d120s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 4.2930 BidEMA: 4.2930 LastPrice = 4.2935 BuyPrice = 4.3350 (strategy <d120s1.5 M+>); StopLoss fixed: 4.2960 AllowedDrop: BUY -14.0% spre 	0.28 	1.46 	0.2 	1.85 	0.5 	0.48 	1.24 	1.44 	24.52 	12.96 	2.72 	1.71 	1.78 	0.67 	0.05 	0 	0.42 	52.1 m 	387.6 m
KNC 	2022-04-10 22:04:04 	2022-04-10 22:18:49 	12.0 \ 12.0 	4.33500000 	4.29200000 	2.60204040 	2.04463082 	-0.56 	-21.4% 	(strategy <d150s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 4.2930 BidEMA: 4.2930 LastPrice = 4.2935 BuyPrice = 4.3350 (strategy <d150s1.5 M+>); StopLoss fixed: 4.2960 AllowedDrop: BUY -14.0% spre 	0.28 	1.46 	0.2 	1.85 	0.46 	0.48 	1.24 	1.44 	24.52 	12.96 	2.72 	1.71 	1.78 	0.67 	0.05 	0 	0.42 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:07 	2022-04-10 22:15:29 	23.0 \ 23.0 	4.34400000 	4.30400000 	4.99759824 	3.99803667 	-1 	-20.0% 	(strategy <d150s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3040 BidEMA: 4.3040 LastPrice = 4.3045 BuyPrice = 4.3440 (strategy <d150s1.2 M+>); StopLoss fixed: 4.3092 AllowedDrop: BUY -14.0% spre 	0.3 	1.48 	0.2 	1.87 	2.12 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1 	0.1 	0 	1.05 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:10 	2022-04-10 22:15:29 	23.0 \ 23.0 	4.34400000 	4.30400000 	4.99759824 	3.99803667 	-1 	-20.0% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3040 BidEMA: 4.3040 LastPrice = 4.3045 BuyPrice = 4.3440 (strategy <d180s1.2 M+>); StopLoss fixed: 4.3092 AllowedDrop: BUY -14.0% spre 	0.29 	1.47 	0.2 	1.87 	1.2 	0.49 	1.29 	1.39 	24.52 	12.96 	2.72 	1.71 	1.78 	1.04 	0.1 	0 	1.01 	52.1 m 	387.6 m
NEAR 	2022-04-10 22:13:50 	2022-04-10 22:15:23 	6.0 \ 6.0 	16.69000000 	16.77100000 	5.00900280 	5.41469643 	0.41 	8.1% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.32 	1.57 	0.3 	2.01 	1.34 	0.24 	1.6 	0.12 	10.03 	5.63 	1.74 	1.72 	1.63 	1.4 	0.05 	0 	3.43 	24.5 m 	1236.6 m
KNC 	2022-04-10 22:02:58 	2022-04-10 22:14:07 	23.0 \ 23.0 	4.34900000 	4.30700000 	5.00335054 	3.95771537 	-1.05 	-20.9% 	(strategy <d120s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3070 BidEMA: 4.3070 LastPrice = 4.3085 BuyPrice = 4.3490 (strategy <d120s1.2 M+>); StopLoss fixed: 4.3142 AllowedDrop: BUY -14.0% spre 	0.27 	1.45 	0.24 	1.91 	0.55 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.45 	0.14 	0 	2.51 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:05 	2022-04-10 22:14:07 	23.0 \ 23.0 	4.34900000 	4.30700000 	5.00335054 	3.95771537 	-1.05 	-20.9% 	(strategy <d150s1 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3070 BidEMA: 4.3070 LastPrice = 4.3085 BuyPrice = 4.3490 (strategy <d150s1 M+>); StopLoss fixed: 4.3142 AllowedDrop: BUY -14.0% spread 	0.26 	1.44 	0.2 	1.89 	0.82 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.45 	0.1 	0 	1.12 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:06 	2022-04-10 22:14:07 	23.0 \ 23.0 	4.34900000 	4.30700000 	5.00335054 	3.95771537 	-1.05 	-20.9% 	(strategy <d180s1 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3070 BidEMA: 4.3070 LastPrice = 4.3085 BuyPrice = 4.3490 (strategy <d180s1 M+>); StopLoss fixed: 4.3142 AllowedDrop: BUY -14.0% spread 	0.28 	1.46 	0.2 	1.89 	2.28 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.44 	0.1 	0 	1.12 	52.1 m 	387.6 m
KNC 	2022-04-10 22:02:57 	2022-04-10 22:14:03 	23.0 \ 23.0 	4.35300000 	4.31200000 	5.00795238 	3.98523441 	-1.02 	-20.4% 	(strategy <d120s1 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3120 BidEMA: 4.3120 LastPrice = 4.3125 BuyPrice = 4.3530 (strategy <d120s1 M+>); StopLoss fixed: 4.3182 AllowedDrop: BUY -14.0% spread 	0.29 	1.47 	0.24 	1.91 	0.67 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.59 	0.14 	0 	2.85 	52.1 m 	387.6 m
KNC 	2022-04-10 22:04:11 	2022-04-10 22:12:06 	12.0 \ 12.0 	4.32400000 	4.33500000 	2.59543776 	2.68587458 	0.09 	3.5% 	(strategy <d180s1.5 M+>) 	Auto Price Down 	0.25 	1.44 	0.18 	1.85 	0.9 	0.47 	1.24 	1.44 	24.52 	12.96 	2.72 	1.84 	2.06 	0.81 	0.05 	0 	0.47 	52.1 m 	387.6 m
KNC 	2022-04-10 22:04:49 	2022-04-10 22:12:02 	23.0 \ 23.0 	4.31500000 	4.33000000 	4.96423490 	5.22970093 	0.27 	5.3% 	(strategy <d180s2 M+>) 	Auto Price Down 	0.29 	1.48 	0.2 	1.85 	0.72 	0.42 	1.52 	1.16 	24.52 	12.96 	2.72 	2.05 	2.34 	0.79 	0.07 	0 	0.65 	52.1 m 	387.6 m
ARPA 	2022-04-10 22:07:47 	2022-04-10 22:08:54 	1329.0 \ 1329.0 	0.07527000 	0.07567000 	5.00369218 	5.45505250 	0.45 	9.0% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.4 	1.61 	0.36 	2.05 	0.6 	0.25 	13.79 	0.12 	18.98 	16.66 	14.94 	3.57 	1.45 	0.77 	0.11 	0 	12.31 	30.2 m 	41.6 m
ARPA 	2022-04-10 22:07:49 	2022-04-10 22:08:54 	1329.0 \ 1329.0 	0.07527000 	0.07567000 	5.00369218 	5.45505250 	0.45 	9.0% 	(strategy <d150s1 M+>) 	Auto Price Down 	0.42 	1.63 	0.36 	2.05 	0.74 	0.25 	13.79 	0.12 	18.98 	16.66 	14.94 	3.57 	1.45 	0.77 	0.11 	0 	12.3 	30.2 m 	41.6 m
ARPA 	2022-04-10 21:55:00 	2022-04-10 22:01:54 	652.0 \ 652.0 	0.07674000 	0.07581000 	2.50272469 	1.85657967 	-0.65 	-25.8% 	(strategy <d120s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07582 BidEMA: 0.07582 LastPrice = 0.07584 BuyPrice = 0.07674 (strategy <d120s1.5 M+>); StopLoss fixed: 0.07605 AllowedDrop: BUY -14.0% 	0.1 	1.22 	0.09 	1.7 	0.3 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.76 	1.23 	0.04 	0 	16.07 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:55:55 	2022-04-10 22:01:54 	651.0 \ 651.0 	0.07676000 	0.07582000 	2.49953741 	1.84786560 	-0.65 	-26.1% 	(strategy <d150s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07582 BidEMA: 0.07582 LastPrice = 0.07584 BuyPrice = 0.07676 (strategy <d150s1.5 M+>); StopLoss fixed: 0.07607 AllowedDrop: BUY -14.0% 	0.13 	1.25 	0.12 	1.75 	0.79 	0.22 	15.59 	0.08 	18.98 	16.72 	16.13 	2.67 	1.76 	0.51 	0.06 	0.01 	15.49 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:55:56 	2022-04-10 22:01:54 	1304.0 \ 1304.0 	0.07670000 	0.07582000 	5.00284034 	3.77576594 	-1.23 	-24.5% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07582 BidEMA: 0.07582 LastPrice = 0.07584 BuyPrice = 0.07670 (strategy <d180s1.2 M+>); StopLoss fixed: 0.07609 AllowedDrop: BUY -14.0% 	0.13 	1.25 	0.09 	1.7 	3.72 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.76 	1.19 	0.07 	0 	14.53 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:59:03 	2022-04-10 22:01:19 	1313.0 \ 1313.0 	0.07619000 	0.07651000 	5.00387425 	5.34383624 	0.34 	6.8% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.12 	1.25 	0.07 	1.71 	0.31 	0.18 	15.02 	0.1 	18.98 	16.72 	16.13 	2.46 	1.92 	1.21 	0.03 	0.01 	20.2 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:59:29 	2022-04-10 22:01:18 	1314.0 \ 1314.0 	0.07613000 	0.07649000 	5.00374170 	5.39656466 	0.39 	7.9% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.14 	1.27 	0.1 	1.72 	0.6 	0.18 	14.62 	0.45 	18.98 	16.72 	16.13 	2.38 	1.81 	0.93 	0.02 	0.01 	28.56 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:54:56 	2022-04-10 21:59:33 	1302.0 \ 1302.0 	0.07681000 	0.07610000 	5.00233113 	3.99827564 	-1 	-20.1% 	(strategy <d120s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07610 BidEMA: 0.07610 LastPrice = 0.07613 BuyPrice = 0.07681 (strategy <d120s1.2 M+>); StopLoss fixed: 0.07620 AllowedDrop: BUY -14.0% 	0.1 	1.22 	0.09 	1.7 	0.24 	0.25 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.66 	1.12 	0.04 	0 	15.19 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:54:56 	2022-04-10 21:59:33 	1302.0 \ 1302.0 	0.07681000 	0.07610000 	5.00233113 	3.99827564 	-1 	-20.1% 	(strategy <d150s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07610 BidEMA: 0.07610 LastPrice = 0.07613 BuyPrice = 0.07681 (strategy <d150s1 M+>); StopLoss fixed: 0.07620 AllowedDrop: BUY -14.0% s 	0.1 	1.22 	0.09 	1.7 	0.23 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.66 	1.12 	0.04 	0 	15.91 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:54:53 	2022-04-10 21:57:56 	1302.0 \ 1302.0 	0.07681000 	0.07706000 	5.00233113 	5.24769567 	0.25 	4.9% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.1 	1.22 	0.09 	1.69 	0.15 	0.25 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.66 	1.12 	0.04 	0 	14.77 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:55:01 	2022-04-10 21:57:56 	1304.0 \ 1304.0 	0.07670000 	0.07706000 	5.00284034 	5.39207915 	0.39 	7.8% 	(strategy <d150s1.2 M+>) 	Auto Price Down 	0.13 	1.25 	0.06 	1.7 	0.41 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.76 	1.23 	0.06 	0 	16.13 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:55:57 	2022-04-10 21:57:56 	1304.0 \ 1304.0 	0.07670000 	0.07706000 	5.00284034 	5.39207915 	0.39 	7.8% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.13 	1.25 	0.06 	1.7 	3.8 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.76 	1.23 	0.07 	0 	13.85 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:56:00 	2022-04-10 21:57:55 	653.0 \ 653.0 	0.07660000 	0.07702000 	2.50199040 	2.73612487 	0.23 	9.4% 	(strategy <d180s1.5 M+>) 	Auto Price Down 	0.13 	1.25 	0.11 	1.74 	0.41 	0.22 	15.61 	0.07 	18.98 	16.72 	16.13 	2.67 	1.85 	0.6 	0.06 	0.01 	14.82 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:53:19 	2022-04-10 21:53:45 	1298.0 \ 1298.0 	0.07705000 	0.07750000 	5.00254522 	5.50640289 	0.5 	10.1% 	(strategy <d120s1 M+>) 	Sell Price 	0.06 	1.18 	0.04 	1.67 	0.75 	0.29 	15.36 	0.29 	18.98 	16.72 	16.13 	4.33 	1.83 	0.78 	0.01 	0 	9.73 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:53:19 	2022-04-10 21:53:45 	1298.0 \ 1298.0 	0.07705000 	0.07750000 	5.00254522 	5.50640289 	0.5 	10.1% 	(strategy <d150s1 M+>) 	Sell Price 	0.06 	1.18 	0.05 	1.67 	1.05 	0.29 	15.36 	0.29 	18.98 	16.72 	16.13 	4.33 	1.83 	0.78 	0.01 	0 	9.72 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:53:21 	2022-04-10 21:53:45 	1298.0 \ 1298.0 	0.07705000 	0.07750000 	5.00254522 	5.50640289 	0.5 	10.1% 	(strategy <d180s1 M+>) 	Sell Price 	0.06 	1.18 	0.05 	1.67 	1.06 	0.29 	15.36 	0.29 	18.98 	16.72 	16.13 	4.33 	1.83 	0.78 	0.01 	0 	9.77 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:50:33 	2022-04-10 21:50:47 	1302.0 \ 1302.0 	0.07680000 	0.07725000 	5.00167987 	5.50735066 	0.51 	10.1% 	(strategy <d120s1 M+>) 	Sell Price 	0.09 	1.2 	0.07 	1.7 	0.79 	0.25 	14.6 	0.94 	18.98 	16.72 	16.13 	4.33 	1.69 	1.04 	0.03 	0 	8.16 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:39:08 	2022-04-10 21:44:30 	638.0 \ 638.0 	0.07839000 	0.07754000 	2.50164126 	1.91954794 	-0.58 	-23.3% 	(strategy <d180s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07754 BidEMA: 0.07754 LastPrice = 0.07755 BuyPrice = 0.07839 (strategy <d180s1.5 M+>); StopLoss fixed: 0.07768 AllowedDrop: BUY -14.0% 	0.14 	1.23 	0.12 	1.77 	0.46 	0.06 	14.46 	1.06 	18.98 	17.03 	16.13 	7.52 	2.21 	1.95 	0.01 	0 	33.63 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:05 	2022-04-10 21:44:28 	637.0 \ 637.0 	0.07850000 	0.07741000 	2.50122509 	1.76716924 	-0.73 	-29.3% 	(strategy <d150s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07741 BidEMA: 0.07741 LastPrice = 0.07742 BuyPrice = 0.07850 (strategy <d150s1.5 M+>); StopLoss fixed: 0.07779 AllowedDrop: BUY -14.0% 	0.14 	1.23 	0.11 	1.77 	0.66 	0.06 	14.46 	1.06 	18.98 	17.03 	16.13 	7.52 	2.21 	1.8 	0.02 	0 	33.08 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:05 	2022-04-10 21:44:28 	1275.0 \ 1275.0 	0.07842000 	0.07741000 	5.00127471 	3.63405144 	-1.37 	-27.3% 	(strategy <d150s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07741 BidEMA: 0.07741 LastPrice = 0.07742 BuyPrice = 0.07842 (strategy <d150s1 M+>); StopLoss fixed: 0.07779 AllowedDrop: BUY -14.0% s 	0.14 	1.23 	0.1 	1.77 	1.03 	0.06 	14.37 	1.14 	18.98 	17.03 	16.13 	7.52 	2.18 	1.47 	0.05 	0 	32.93 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:20 	2022-04-10 21:41:23 	1285.0 \ 1285.0 	0.07785000 	0.07847000 	5.00386324 	5.72021480 	0.72 	14.3% 	(strategy <d120s2 M+>) 	Auto Price Down 	0.14 	1.23 	0.12 	1.77 	0.48 	0.06 	14.46 	1.06 	18.98 	17.03 	16.13 	7.94 	2.65 	2.65 	0.01 	0 	42.15 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:41 	2022-04-10 21:41:23 	1285.0 \ 1285.0 	0.07785000 	0.07847000 	5.00386324 	5.72021480 	0.72 	14.3% 	(strategy <d180s2 M+>) 	Auto Price Down 	0.11 	1.2 	0.08 	1.76 	2.57 	0.08 	14.45 	1.07 	18.98 	17.03 	16.13 	7.93 	2.65 	2.01 	0.03 	0 	30.88 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:42 	2022-04-10 21:41:23 	1285.0 \ 1285.0 	0.07785000 	0.07847000 	5.00386324 	5.72021480 	0.72 	14.3% 	(strategy <d150s2 M+>) 	Auto Price Down 	0.13 	1.22 	0.12 	1.77 	1.34 	0.06 	14.45 	1.07 	18.98 	17.03 	16.13 	7.93 	2.65 	2.64 	0.01 	0 	30.88 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:38:44 	2022-04-10 21:40:36 	1273.0 \ 1273.0 	0.07858000 	0.07761000 	5.00361765 	3.68927573 	-1.31 	-26.3% 	(strategy <d120s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07761 BidEMA: 0.07761 LastPrice = 0.07763 BuyPrice = 0.07858 (strategy <d120s1.2 M+>); StopLoss fixed: 0.07764 AllowedDrop: BUY -15.0% 	0.14 	1.23 	0.1 	1.76 	0.41 	0.06 	14.45 	1.08 	18.98 	17.03 	16.13 	7.52 	2.32 	1.88 	0.05 	0 	31.64 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:38:48 	2022-04-10 21:40:36 	636.0 \ 636.0 	0.07858000 	0.07761000 	2.49984354 	1.84318882 	-0.66 	-26.3% 	(strategy <d120s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07761 BidEMA: 0.07761 LastPrice = 0.07763 BuyPrice = 0.07858 (strategy <d120s1.5 M+>); StopLoss fixed: 0.07764 AllowedDrop: BUY -15.0% 	0.14 	1.23 	0.12 	1.77 	0.45 	0.06 	14.45 	1.08 	18.98 	17.03 	16.13 	7.52 	2.32 	1.88 	0.05 	0 	32.15 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:02 	2022-04-10 21:40:36 	1273.0 \ 1273.0 	0.07858000 	0.07761000 	5.00361765 	3.68927573 	-1.31 	-26.3% 	(strategy <d150s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07761 BidEMA: 0.07761 LastPrice = 0.07763 BuyPrice = 0.07858 (strategy <d150s1.2 M+>); StopLoss fixed: 0.07764 AllowedDrop: BUY -15.0% 	0.14 	1.23 	0.11 	1.77 	1.19 	0.06 	14.45 	1.08 	18.98 	17.03 	16.13 	7.52 	2.32 	1.88 	0.04 	0 	36.07 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:03 	2022-04-10 21:40:36 	1273.0 \ 1273.0 	0.07858000 	0.07761000 	5.00361765 	3.68927573 	-1.31 	-26.3% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07761 BidEMA: 0.07761 LastPrice = 0.07763 BuyPrice = 0.07858 (strategy <d180s1.2 M+>); StopLoss fixed: 0.07764 AllowedDrop: BUY -15.0% 	0.14 	1.23 	0.11 	1.77 	2.13 	0.06 	14.45 	1.08 	18.98 	17.03 	16.13 	7.52 	2.32 	1.88 	0.02 	0 	34.71 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:39:03 	2022-04-10 21:40:36 	1273.0 \ 1273.0 	0.07858000 	0.07761000 	5.00361765 	3.68927573 	-1.31 	-26.3% 	(strategy <d180s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07761 BidEMA: 0.07761 LastPrice = 0.07763 BuyPrice = 0.07858 (strategy <d180s1 M+>); StopLoss fixed: 0.07764 AllowedDrop: BUY -15.0% s 	0.14 	1.23 	0.11 	1.77 	2.26 	0.06 	14.45 	1.08 	18.98 	17.03 	16.13 	7.52 	2.32 	1.88 	0.03 	0 	34.71 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:38:42 	2022-04-10 21:40:27 	1271.0 \ 1271.0 	0.07868000 	0.07767000 	5.00211404 	3.63891574 	-1.36 	-27.3% 	(strategy <d120s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07767 BidEMA: 0.07767 LastPrice = 0.07769 BuyPrice = 0.07868 (strategy <d120s1 M+>); StopLoss fixed: 0.07774 AllowedDrop: BUY -15.0% s 	0.14 	1.23 	0.1 	1.76 	0.29 	0.06 	14.45 	1.08 	18.98 	17.03 	16.13 	7.52 	2.32 	1.88 	0.05 	0 	30.56 	22.4 m 	32.7 m
KNC 	2022-04-10 21:25:54 	2022-04-10 21:39:49 	23.0 \ 23.0 	4.30800000 	4.31700000 	4.95618168 	5.08383171 	0.13 	2.6% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.11 	1.2 	0.03 	1.8 	0.55 	0.14 	2.96 	0.68 	24.52 	16.09 	4.15 	1.85 	1.49 	0.98 	0.07 	0 	1.01 	71.6 m 	362.4 m
ARPA 	2022-04-10 21:37:08 	2022-04-10 21:38:04 	1270.0 \ 1270.0 	0.07877000 	0.07923000 	5.00389576 	5.50783179 	0.5 	10.1% 	(strategy <d120s1 M+>) 	Sell Price 	0.14 	1.26 	0.14 	1.79 	1.39 	0.09 	14.31 	1.19 	18.98 	17.03 	16.13 	8.73 	2.18 	1.07 	0.02 	0 	10.92 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:37:09 	2022-04-10 21:38:04 	1271.0 \ 1271.0 	0.07866000 	0.07912000 	5.00084254 	5.50528722 	0.5 	10.1% 	(strategy <d150s1 M+>) 	Sell Price 	0.14 	1.26 	0.13 	1.79 	0.77 	0.09 	14.31 	1.19 	18.98 	17.03 	16.13 	8.73 	2.18 	1.2 	0.02 	0 	11.32 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:37:11 	2022-04-10 21:38:03 	1275.0 \ 1275.0 	0.07842000 	0.07891000 	5.00127471 	5.54578644 	0.54 	10.9% 	(strategy <d120s1.2 M+>) 	Sell Price 	0.14 	1.26 	0.13 	1.79 	0.16 	0.08 	14.31 	1.19 	18.98 	17.03 	16.13 	8.73 	2.18 	1.47 	0.02 	0 	13.86 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:37:13 	2022-04-10 21:38:03 	638.0 \ 638.0 	0.07831000 	0.07886000 	2.49908824 	2.80987847 	0.31 	12.4% 	(strategy <d120s1.5 M+>) 	Sell Price 	0.14 	1.26 	0.13 	1.79 	0.14 	0.08 	14.2 	1.29 	18.98 	17.03 	16.13 	8.73 	2.18 	1.64 	0.02 	0 	15.14 	22.4 m 	32.7 m
ARPA 	2022-04-10 21:37:15 	2022-04-10 21:38:03 	1277.0 \ 1277.0 	0.07831000 	0.07880000 	5.00209354 	5.54757178 	0.55 	10.9% 	(strategy <d150s1.2 M+>) 	Sell Price 	0.14 	1.26 	0.14 	1.8 	0.14 	0.08 	14.2 	1.29 	18.98 	17.03 	16.13 	8.73 	2.18 	1.74 	0.02 	0 	16.1 	22.4 m 	32.7 m
ZIL 	2022-04-10 21:33:24 	2022-04-10 21:35:25 	808.0 \ 808.0 	0.12373000 	0.12429000 	5.00069148 	5.37301144 	0.37 	7.4% 	(strategy <d150s1 M+>) 	Auto Price Down 	0.13 	1.24 	0.09 	1.77 	0.67 	0.13 	0.48 	1.76 	8.47 	7.16 	2.25 	1.08 	1.08 	0.66 	0.02 	0 	2.32 	34.4 m 	566.2 m
KNC 	2022-04-10 21:26:10 	2022-04-10 21:35:16 	23.0 \ 23.0 	4.30600000 	4.31500000 	4.95388076 	5.08156759 	0.13 	2.6% 	(strategy <d120s1.2 M+>) 	Auto Price Down 	0.11 	1.2 	0.05 	1.8 	1.31 	0.14 	2.96 	0.68 	24.52 	16.09 	4.15 	1.87 	1.58 	1.07 	0.07 	0 	1.57 	71.6 m 	362.4 m
SKL 	2022-04-10 21:24:23 	2022-04-10 21:31:19 	470.0 \ 470.0 	0.21275000 	0.21318000 	5.00162485 	5.12365004 	0.12 	2.4% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.12 	1.24 	0.11 	1.85 	0.2 	0.18 	5.34 	0.2 	8.45 	8.25 	5.55 	3.01 	1.96 	1.31 	0.01 	0 	15.44 	3.3 m 	29.3 m
SKL 	2022-04-10 21:26:20 	2022-04-10 21:31:19 	470.0 \ 470.0 	0.21269000 	0.21312000 	5.00021429 	5.12226204 	0.12 	2.4% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.14 	1.23 	0.1 	1.84 	0.5 	0.15 	5.3 	0.03 	8.45 	8.25 	5.34 	2.81 	1.6 	0.49 	0.07 	0 	4.9 	3.3 m 	29.3 m
SKL 	2022-04-10 21:26:46 	2022-04-10 21:30:50 	471.0 \ 471.0 	0.21214000 	0.21293000 	4.99789536 	5.28990220 	0.29 	5.8% 	(strategy <d180s1.2 M+>) 	Auto Price Down 	0.1 	1.2 	0.04 	1.79 	0.68 	0.14 	5.26 	0.05 	8.45 	8.25 	5.32 	2.79 	1.55 	0.78 	0.07 	0 	4.2 	3.3 m 	29.3 m
